PALLAVICINIIALES	Pallaviciniales
CYCLANTHALES	Pandanales
CYCLANTHIFLORAE	Pandanales
PANDANIFLORAE	Pandanales
PARVULARCULALES	Parvularculales
EURYLAMI	Passeriformes
MENURAE	Passeriformes
TYRANNI	Passeriformes
PASTERUELLACEAE GROUP	Pasteurellales
PASTEURELLALES	Pasteurellales
LECANIDIALES	Patellariales
PLATYASTERIDA	Paxillosida
PEDINELLOPHYCEAE	Pedinellales
PEDINOMONALES	Pedinomonadales
PELLIALES	Pelliales
CHANNIFORMES	Perciformes
GONYAULACALES	Peridiniales
PETROMYZONIFORMES	Petromyzontiformes
PETROSAVIALES	Petrosaviales
TUBERALES	Pezizales
CHELEUTOPTERA	Phasmatodea
PHASMATOPTERA	Phasmatodea
PHASMIDA	Phasmatodea
PHASMOPTERA	Phasmatodea
PHOLADOMYACEA	Pholadomyoida
PHOLIDOPHOROIDEA	Pholidophoriformes
PHYCISPHAERALES	Phycisphaerales
POLYSTIGMATALES	Phyllachorales
PHYSARALES	Physariida
PICI	Piciformes
PICRAMNIALES	Picramniales
EDENTATA	Pilosa
PIPERINEAE	Piperales
PLANCTOMYCETALES	Planctomycetales
FILIPALPIA	Plecoptera
HOLOGNATHA	Plecoptera
SETIPALPIA	Plecoptera
MELANOMMATALES	Pleosporales
PSEUDOSPHAERIALES	Pleosporales
PLEUROZIALES	Pleuroziales
PLOIMIDA	Ploima
PLOIMA	Ploimida
CYPERALES	Poales
TYPHALES	Poales
COLYMBIFORMES	Podicipediformes
ANDREINIDEA	Poecilostomatoida
PHILICHTHYIDEA	Poecilostomatoida
SARCOTACIDEA	Poecilostomatoida
FILICALES	Polypodiales
APHYLLOPHORALES	Polyporales
STEREALES	Polyporales
BRACHIOPTERYGII	Polypteriformes
CLADISTIA	Polypteriformes
POLYTRICHIDAE	Polytrichidae
PORELLALES	Porellales
SCHIZOGONIALES	Prasiolales
PRIMATA	Primates
PRIMATES	Primates
PRISTOIDEI	Pristiformes
PROCABACTERIALES	Procabacteriales
PROCHLORALES	Prochlorales
ALLOEOCOELA	Prolecithophora
ALLOIOCOELA	Prolecithophora
PRORODONTINA	Prorodontida
ALLOEOCOELA	Proseriata
ALLOIOCOELA	Proseriata
MYRIENTOMATA	Protura
PSEUDOMONACEAE	Pseudomonadales
PSEUDOMONADALES	Pseudomonadales
PSEUDOSCORPIONIDA	Pseudoscorpiones
DIPLOSPHYRONIDA	Pseudoscorpiones De
HETEROSPHYRONIDA	Pseudoscorpiones De
MONOSPHYRONIDA	Pseudoscorpiones De
PSEUDOSCORPIONIDA	Pseudoscorpiones De
PTERIINA	Pterioida
PTILIDIALES	Ptilidiales
PTYCHOMNIALES	Ptychomniales
UREDINALES	Pucciniales
PUNICEICOCCALES	Puniceicoccales
RADIOLARIA	Radiolaria
BATIDOIDIMORPHA	Rajiformes
BATOIDEA	Rajiformes
HYPOTREMATA	Rajiformes
RAJOIDEI	Rajiformes
RALFSIALES	Ralfsiales
BERBERIDALES	Ranunculales
BERBERIDINEAE	Ranunculales
RANUNCULINEAE	Ranunculales
RAPHIDIODEA	Raphidioptera
RHAPHIDIOPTERA	Raphidioptera
REPTANTIA	Reptantia
RHINEBOTHRIINAE	Rhinebothriidea
RHINOBATOIDEA	Rhinobatiformes
HYPHOMICROBIALES	Rhizobiales
RHIZOBIACEAE GROUP	Rhizobiales
RHIZOBIALES	Rhizobiales
RHIZOGONIALES	Rhizogoniales
RHIZOPHYDIALES	Rhizophydiales
RHIZOSTOMATIDA	Rhizostomeae
RHODOBACTERALES	Rhodobacterales
RHODOCYCLALES	Rhodocyclales
RHODOSPIRILLALES	Rhodospirillales
RHYNCHOBDELLIFORMES	Rhynchobdellida
RICKETTSIALES	Rickettsiales
RHAMNALES	Rosales
ROSANAE	Rosales
URTICALES	Rosales
ROTALIINA	Rotaliida
RUBROBACTERALES	Rubrobacterales
RUFUSIALES	Rufusiales
TETRACORALLA	Rugosa
HERICIALES	Russulales
STEREALES	Russulales
ENDOMYCETALES	Saccharomycetales
ASCOGLOSSA	Sacoglossa
SALINISPHAERALES	Salinisphaerales
SALMONOIDEI	Salmoniformes
DESMONYARIA	Salpida
HYDROPTERIDALES	Salviniales
MARSILEALES	Salviniales
SANTALANAE	Santalales
RUTANAE	Sapindales
HAMAMELIDALES	Saxifragales
MADREPORARIA	Scleractinia
SCOLOPENDRIDA	Scolopendromorpha
DACTYLOPTERIFORMES	Scorpaeniformes
SCOULERIALES	Scouleriales
SCUTIGERIDA	Scutigeromorpha
SEISONIDA	Seisonacea
SELENOMONADALES	Selenomonadales
LEPISOSTEIFORMES	Semionotiformes
LEPISOSTOIDEI	Semionotiformes
SEPIOIDA	Sepiida
SEPIOIDEA	Sepiida
SEPIOIDA	Sepiolida
SEPIOIDEA	Sepiolida
NEMATOGNATHI	Siluriformes
SIPHONAPTERA	Siphonaptera
SIPHONOPHORIDA	Siphonophora
SIPHONOPHORA	Siphonophorae
CALIGOIDA	Siphonostomatoida
LERNAEOPODOIDA	Siphonostomatoida
SIPUNCULIFORMES	Sipunculoidea
SNEATHIELLALES	Sneathiellales
SOLANANAE	Solanales
SOLIBACTERALES	Solibacterales
SOLPUGIDA	Solifugae
SOLIRUBROBACTERALES	Solirubrobacterales
SPHAEROBACTERALES	Sphaerobacterales
SPHAEROCARPALES	Sphaerocarpales
DO CLADE	Sphaeropleales
RHYNCHOCEPHALIA	Sphenodontia
RHYNCHOSAURIA	Sphenodontia
SPHINGOBACTERIALES	Sphingobacteriales
SPHINGOMONADALES	Sphingomonadales
SPIROCHAETALES	Spirochaetales
SPIROTRICHONYMPHIDA	Spirotrichonymphida
SPORIDIACEAE	Sporidiobolales
SPORIDIALES	Sporidiobolales
SPORIDIOBOLACEAE	Sporidiobolales
SPUMELLARIDA	Spumellaria
SQUALOIDEI	Squaliformes
LACERTILIA	Squamata
SAURIA	Squamata
SQUATINOIDEI	Squatiniformes
STEMONITALES	Stemonitida
CETOMIMIFORMES	Stephanoberyciformes
MIRAPINNATOIDEI	Stephanoberyciformes
TAXOPODIDA	Sticholonche
STOLONIFERA	Stolonifera
STOMIATIFORMES	Stomiiformes
STREPSIPTERIFORMIA	Strepsiptera
STREIGIDA	Strigeidida
STRIGEIDA	Strigeidida
CAPRIMULGI	Strigiformes
CAPRIMULGIFORMES	Strigiformes
STEATORNITHES	Strigiformes
STROMATOPOROIDEA	Stromatoporida
APTERYGIFORMES	Struthioniformes
CASUARIIFORMES	Struthioniformes
RHEIFORMES	Struthioniformes
SULFOLOBALES	Sulfolobales
SYMBRANCHII	Synbranchiformes
SYNERGISTALES	Synergistales
SYNTROPHOBACTERALES	Syntrophobacterales
ANISOPODA	Tanaidacea
CRYPTOCARIDIDAE	Tanaidacea
